code,description
162863004,Body mass index 25-29 - overweight (finding)
162864005,Body mass index 30+ - obesity (finding)
301331008,Finding of body mass index (finding)
310252000,Body mass index less than 20 (finding)
35425004,Normal body mass index (finding)
408512008,Body mass index 40+ - severely obese (finding)
412768003,Body mass index 20-24 - normal (finding)
427090001,Body mass index less than 16.5 (finding)
48499001,Increased body mass index (finding)
60621009,Body mass index (observable entity)
6497000,Decreased body mass index (finding)
722595002,Overweight in adulthood with body mass index of 25 or more but less than 30 (finding)
846931000000101,Baseline body mass index (observable entity)
914721000000105,Obese class I (body mass index 30.0 - 34.9) (finding)
914731000000107,Obese class II (body mass index 35.0 - 39.9) (finding)
914741000000103,Obese class III (body mass index equal to or greater than 40.0) (finding)
