code,description
E14,Unspecified diabetes mellitus
E140,Unspecified diabetes mellitus with coma
E141,Unspecified diabetes mellitus with ketoacidosis
E142,Unspecified diabetes mellitus with renal complications
E143,Unspecified diabetes mellitus with ophthalmic complications
E144,Unspecified diabetes mellitus with neurological complications
E145,Unspecified diabetes mellitus with peripheral circulatory complications
E146,Unspecified diabetes mellitus with other specified complications
E147,Unspecified diabetes mellitus with multiple complications
E148,Unspecified diabetes mellitus with unspecified complications
E149,Unspecified diabetes mellitus without complications
G590,Diabetic mononeuropathy
G632,Diabetic polyneuropathy
H280,Diabetic cataract
H360,Diabetic retinopathy
M142,Diabetic arthropathy
N083,Glomerular disorders in diabetes mellitus
Y423,Insulin and oral hypoglycaemic [antidiabetic] drugs
E13,Other specified diabetes mellitus
E130,Other specified diabetes mellitus with coma
E131,Other specified diabetes mellitus with ketoacidosis
E132,Other specified diabetes mellitus with renal complications
E133,Other specified diabetes mellitus with ophthalmic complications
E134,Other specified diabetes mellitus with neurological complications
E135,Other specified diabetes mellitus with peripheral circulatory complications
E136,Other specified diabetes mellitus with other specified complications
E137,Other specified diabetes mellitus with multiple complications
E138,Other specified diabetes mellitus with unspecified complications
E139,Other specified diabetes mellitus without complications
O243,"Diabetes mellitus in pregnancy: Pre-existing diabetes mellitus, unspecified"
E10,Type 1 diabetes mellitus
E100,Type 1 diabetes mellitus With coma
E101,Type 1 diabetes mellitus With ketoacidosis
E102,Type 1 diabetes mellitus With renal complications
E103,Type 1 diabetes mellitus With ophthalmic complications
E104,Type 1 diabetes mellitus With neurological complications
E105,Type 1 diabetes mellitus With peripheral circulatory complications
E106,Type 1 diabetes mellitus With other specified complications
E107,Type 1 diabetes mellitus With multiple complications
E108,Type 1 diabetes mellitus With unspecified complications
E109,Type 1 diabetes mellitus Without complications
O240,Diabetes mellitus in pregnancy: Pre-existing type 1 diabetes mellitus
E11,Type 2 diabetes mellitus
E110,Type 2 diabetes mellitus With coma
E111,Type 2 diabetes mellitus With ketoacidosis
E112,Type 2 diabetes mellitus With renal complications
E113,Type 2 diabetes mellitus With ophthalmic complications
E114,Type 2 diabetes mellitus With neurological complications
E115,Type 2 diabetes mellitus With peripheral circulatory complications
E116,Type 2 diabetes mellitus With other specified complications
E117,Type 2 diabetes mellitus With multiple complications
E118,Type 2 diabetes mellitus With unspecified complications
E119,Type 2 diabetes mellitus Without complications
O241,Diabetes mellitus in pregnancy: Pre-existing type 2 diabetes mellitus
