code,description
530558861000132000,Atypical diabetes mellitus
530558861000132104,Atypical diabetes mellitus (disorder)
368141000119106,Autonomic neuropathy due to drug induced diabetes mellitus (disorder)
368151000119108,Cataract due to drug induced diabetes mellitus (disorder)
368171000119104,Dermatitis due to drug induced diabetes mellitus (disorder)
368201000119100,Disorder of kidney due to drug induced diabetes mellitus (disorder)
368421000119108,Chronic kidney disease stage 1 due to drug induced diabetes mellitus (disorder)
368431000119106,Chronic kidney disease stage 2 due to drug induced diabetes mellitus (disorder)
368441000119102,Chronic kidney disease stage 3 due to drug induced diabetes mellitus (disorder)
368451000119100,Chronic kidney disease stage 4 due to drug induced diabetes mellitus (disorder)
368461000119103,Chronic kidney disease stage 5 due to drug induced diabetes mellitus (disorder)
368471000119109,End stage renal disease on dialysis due to drug induced diabetes mellitus (disorder)
5368009,Drug-induced diabetes mellitus (disorder)
103981000119101,Proliferative retinopathy following surgery due to diabetes mellitus (disorder)
10660471000119108,Ulcer of left foot due to type 2 diabetes mellitus
111556005,Ketoacidosis without coma due to diabetes mellitus (disorder)
126534007,Mixed sensorimotor polyneuropathy due to diabetes mellitus (disorder)
126535008,Motor polyneuropathy due to diabetes mellitus (disorder)
127011001,Sensory neuropathy due to diabetes mellitus (disorder)
127013003,Disorder of kidney due to diabetes mellitus (disorder)
127014009,Peripheral angiopathy due to diabetes mellitus (disorder)
16890881000119106,History of proliferative retinopathy due to diabetes mellitus (situation)
170766006,Loss of hypoglycemic warning due to diabetes mellitus (disorder)
193141005,Mononeuritis multiplex due to diabetes mellitus (disorder)
193183000,Acute painful neuropathy due to diabetes mellitus (disorder)
193184006,Chronic painful neuropathy due to diabetes mellitus (disorder)
193185007,Asymptomatic neuropathy due to diabetes mellitus (disorder)
193349004,Preproliferative retinopathy due to diabetes mellitus (disorder)
193350004,Advanced maculopathy due to diabetes mellitus (disorder)
193489006,Iritis due to diabetes mellitus (disorder)
19378003,Pseudotabes due to diabetes mellitus (disorder)
197605007,Nephrotic syndrome due to diabetes mellitus (disorder)
200687002,Cellulitis of foot due to diabetes mellitus (disorder)
201250006,Ischemic ulcer of foot due to diabetes mellitus (disorder)
201251005,Neuropathic ulcer of foot due to diabetes mellitus (disorder)
201723002,Cheiroarthropathy due to diabetes mellitus (disorder)
201724008,Neuropathic arthropathy due to diabetes mellitus (disorder)
230572002,Neuropathy due to diabetes mellitus (disorder)
230574001,Acute painful polyneuropathy due to diabetes mellitus (disorder)
230575000,Chronic painful polyneuropathy due to diabetes mellitus (disorder)
230576004,Asymmetric polyneuropathy due to diabetes mellitus (disorder)
230577008,Mononeuropathy due to diabetes mellitus (disorder)
230579006,Thoracic radiculopathy due to diabetes mellitus (disorder)
232020009,Disorder of macula due to diabetes mellitus (disorder)
232021008,Proliferative retinopathy with optic disc neovascularization due to diabetes mellitus (disorder)
232022001,Proliferative retinopathy with neovascularization elsewhere than the optic disc due to diabetes mellitus (disorder)
232023006,Traction detachment of retina due to diabetes mellitus (disorder)
236499007,Microalbuminuric nephropathy due to diabetes mellitus (disorder)
236500003,Proteinuric nephropathy due to diabetes mellitus (disorder)
237620003,Abnormal metabolic state due to diabetes mellitus (disorder)
237621004,Severe hyperglycemia due to diabetes mellitus (disorder)
237632004,Hypoglycemic event due to diabetes (disorder)
237633009,Hypoglycemia due to diabetes mellitus (disorder)
237635002,Nocturnal hypoglycemia due to diabetes mellitus (disorder)
238981002,Disorder of soft tissue due to diabetes mellitus (disorder)
238982009,Dermopathy due to diabetes mellitus (disorder)
238983004,Thick skin syndrome due to diabetes mellitus (disorder)
238984005,Rubeosis faciei due to diabetes mellitus (disorder)
25093002,Disorder of eye due to diabetes mellitus (disorder)
25412000,Microaneurysm of retinal artery due to diabetes mellitus (disorder)
26298008,Ketoacidotic coma due to diabetes mellitus (disorder)
267604001,Myasthenic syndrome due to diabetic mellitus (disorder)
309426007,Glomerulopathy due to diabetes mellitus (disorder)
310387003,Intracapillary glomerulosclerosis of kidney due to diabetes mellitus (disorder)
310505005,Hyperosmolar non-ketotic state due to diabetes mellitus (disorder)
311782002,Advanced retinal disease due to diabetes mellitus (disorder)
312903003,Mild nonproliferative retinopathy due to diabetes mellitus (disorder)
312904009,Moderate nonproliferative retinopathy due to diabetes mellitus (disorder)
312905005,Severe nonproliferative retinopathy due to diabetes mellitus (disorder)
312906006,Non-high-risk proliferative retinopathy due to diabetes mellitus (disorder)
312907002,High risk proliferative retinopathy due to diabetes mellitus (disorder)
312908007,Quiescent proliferative retinopathy due to diabetes mellitus (disorder)
312909004,Proliferative retinopathy with iris neovascularization due to diabetes mellitus (disorder)
312910009,Vitreous hemorrhage due to diabetes mellitus (disorder)
312912001,Macular edema due to diabetes mellitus (disorder)
314010006,Diffuse exudative maculopathy due to diabetes mellitus (disorder)
314011005,Focal exudative maculopathy due to diabetes mellitus (disorder)
314014002,Ischemic maculopathy due to diabetes mellitus (disorder)
314015001,Mixed maculopathy due to diabetes mellitus (disorder)
314537004,Optic papillopathy due to diabetes mellitus (disorder)
35777006,Mononeuropathy multiplex due to diabetes mellitus (disorder)
359611005,Neuropathy with neurologic complication due to diabetes mellitus (disorder)
361216007,Femoral mononeuropathy due to diabetes mellitus (disorder)
367241000119104,Hyperosmolar coma due to drug induced diabetes mellitus (disorder)
367261000119100,Hyperosmolarity due to drug induced diabetes mellitus (disorder)
368181000119101,Ulcer of foot due to drug induced diabetes mellitus (disorder)
368251000119101,Polyneuropathy due to drug induced diabetes mellitus (disorder)
371087003,Ulcer of foot due to diabetes mellitus (disorder)
38046004,Diffuse glomerulosclerosis of kidney due to diabetes mellitus (disorder)
38205001,Diarrhea due to diabetes mellitus (disorder)
39058009,Lumbosacral radiculoplexus neuropathy due to diabetes mellitus (disorder)
390834004,Nonproliferative retinopathy due to diabetes mellitus (disorder)
39127005,Symmetric proximal motor neuropathy due to diabetes mellitus (disorder)
39181008,Radiculoplexus neuropathy due to diabetes mellitus (disorder)
398140007,Post hypoglycemic hyperglycemia due to diabetes mellitus (disorder)
399862001,High risk proliferative retinopathy without macular edema due to diabetes mellitus (disorder)
399863006,Very severe nonproliferative retinopathy without macular edema due to diabetes mellitus (disorder)
399864000,Macular edema not clinically significant due to diabetes mellitus (disorder)
399865004,Very severe proliferative retinopathy due to diabetes mellitus (disorder)
399866003,Venous beading of retina due to diabetes mellitus (disorder)
399868002,Intraretinal microvascular anomaly due to diabetes mellitus (disorder)
399869005,High risk proliferative retinopathy not amenable to photocoagulation due to diabetes mellitus (disorder)
399870006,Non-high-risk proliferative retinopathy with no macular edema due to diabetes mellitus (disorder)
399871005,Visually threatening retinopathy due to diabetes mellitus (disorder)
399872003,Severe nonproliferative retinopathy with clinically significant macular edema due to diabetes mellitus (disorder)
399873008,Severe nonproliferative retinopathy without macular edema due to diabetes mellitus (disorder)
399874002,High risk proliferative retinopathy with clinically significant macula edema due to diabetes mellitus (disorder)
399875001,Non-high-risk proliferative retinopathy with clinically significant macular edema due to diabetes mellitus (disorder)
399876000,Very severe nonproliferative retinopathy due to diabetes mellitus (disorder)
399877009,Very severe nonproliferative retinopathy with clinically significant macular edema due to diabetes mellitus (disorder)
402864004,Wet gangrene of foot due to diabetes mellitus (disorder)
419100001,Infection of foot due to diabetes mellitus (disorder)
