code,description
1153637007,Body height (observable entity)
1162419008,Self reported body height (observable entity)
1230278008,Self reported peak adult body height (observable entity)
129814003,Body height abnormal for age (finding)
139977008,O/E - height (finding)
139978003,O/E - height greater than 20% below average (finding)
139979006,O/E - height 10-20% below average (finding)
139980009,O/E -height within 10% average (finding)
139981008,O/E-height 10-20% over average (finding)
139982001,O/E - height greater than 20% over average (finding)
139983006,O/E - loss of height (finding)
139984000,O/E - height NOS (finding)
14456009,Measuring height of patient (procedure)
14811000119105,Abnormal increase in body height (finding)
162755006,On examination - height (finding)
162756007,On examination - height greater than 20% below average (finding)
162757003,On examination - height 10-20% below average (finding)
162758008,On examination - height within 10% average (finding)
162759000,On examination - height 10-20% over average (finding)
162760005,On examination - height greater than 20% over average (finding)
162761009,On examination - loss of height (finding)
162762002,On examination - height NOS (finding)
17489000,Body height normal for age (finding)
224997009,Height increased (finding)
248329006,Has grown shorter (finding)
248331002,Has grown in height (finding)
248333004,Standing height (observable entity)
271603002,Height / growth measure (observable entity)
271817008,Has not grown in height (finding)
309534003,Normal height (finding)
314699007,Child height = 91st centile (finding)
418317006,Height above average (finding)
418519005,Height below average (finding)
425115008,Abnormal height in relation to growth / age standard (finding)
50373000,Body height measure (observable entity)
54871000237100,Patient height (observable entity)
594151000000105,On examination - height NOS (finding)
71781005,Decrease in height (finding)
