code,description
10725009,Benign hypertension
1201005,Benign essential hypertension
123799005,Renovascular hypertension
129151000119102,Chronic kidney disease stage 4 due to hypertension
129171000119106,Chronic kidney disease stage 3 due to hypertension
132721000119104,Hypertensive emergency
169465000,Hypertension induced by oral contraceptive pill
194767001,Benign hypertensive heart disease with congestive cardiac failure
194779001,Hypertensive heart and renal disease with (congestive) heart failure
194780003,Hypertensive heart and renal disease with renal failure
194781004,Hypertensive heart and renal disease with both (congestive) heart failure and renal failure
194783001,Secondary malignant renovascular hypertension
194785008,Secondary benign hypertension
194788005,Hypertension secondary to endocrine disorders
194791005,Hypertension secondary to drug
275516004,Cardiomegaly - hypertensive
31992008,Secondary hypertension
36221001,Benign hypertensive heart disease
36315003,Malignant hypertensive heart disease without congestive heart failure
371125006,Labile essential hypertension (disorder)
38341003,Hypertensive disease
401047000,Hypertension treatment refused (context-dependent category)
407567007,Patient on maximal tolerated antihypertensive therapy (finding)
428163005,Hypertensive left ventricular hypertrophy (disorder)
443402002,Lifestyle education regarding hypertension (procedure)
443482000,Hypertensive urgency (disorder)
471521000000108,[X]Hypertensive diseases (disorder)
48146000,Diastolic hypertension
5148006,Hypertensive heart disease with congestive heart failure
54225002,Malignant hypertensive heart disease
56218007,Systolic hypertension
59621000,Essential hypertension
64715009,Hypertensive heart disease
66052004,Benign hypertensive heart AND renal disease
66610008,Malignant hypertensive heart AND renal disease
70272006,Malignant hypertension
706882009,Hypertensive crisis (disorder)
712832005,Supine hypertension
73410007,Benign secondary renovascular hypertension
762463000,Diastolic hypertension co-occurrent with systolic hypertension (disorder)
77970009,Benign hypertensive heart disease without congestive heart failure
78975002,Malignant essential hypertension
83105008,Malignant hypertensive heart disease with congestive heart failure
843821000000102,Stage 1 hypertension (National Institute for Health and Clinical Excellence 2011) (disorder)
843841000000109,Severe hypertension (National Institute for Health and Clinical Excellence 2011) (disorder)
845891000000103,Hypertension resistant to drug therapy (disorder)
846371000000103,Stage 2 hypertension (National Institute for Health and Clinical Excellence 2011) (disorder)
86234004,Hypertensive heart AND renal disease
863191000000102,Nocturnal hypertension (disorder)
89242004,Malignant secondary hypertension
908631000000108,Stage 1 hypertension (National Institute for Health and Clinical Excellence 2011) without evidence of end organ damage (disorder)
908651000000101,Stage 1 hypertension (National Institute for Health and Clinical Excellence 2011) with evidence of end organ damage (disorder)
198942000,"Benign essential hypertension complicating pregnancy, childbirth and the puerperium"
198944004,"Benign essential hypertension complicating pregnancy, childbirth and the puerperium - delivered"
198945003,"Benign essential hypertension complicating pregnancy, childbirth and the puerperium - delivered with postnatal complication"
198946002,"Benign essential hypertension complicating pregnancy, childbirth and the puerperium - not delivered"
198947006,"Benign essential hypertension complicating pregnancy, childbirth and the puerperium with postnatal complication"
198949009,"Renal hypertension complicating pregnancy, childbirth and the puerperium"
198951008,"Renal hypertension complicating pregnancy, childbirth and the puerperium - delivered"
198952001,"Renal hypertension complicating pregnancy, childbirth and the puerperium - delivered with postnatal complication"
198953006,"Renal hypertension complicating pregnancy, childbirth and the puerperium - not delivered"
198954000,"Renal hypertension complicating pregnancy, childbirth and the puerperium with postnatal complication"
198997005,Pre-eclampsia or eclampsia with pre-existing hypertension
198999008,Pre-eclampsia or eclampsia with pre-existing hypertension - delivered
199000005,Pre-eclampsia or eclampsia with pre-existing hypertension - delivered with postnatal complication
199002002,Pre-eclampsia or eclampsia with pre-existing hypertension - not delivered
199003007,Pre-eclampsia or eclampsia with pre-existing hypertension with postnatal complication
199005000,"Pre-existing hypertension complicating pregnancy, childbirth and puerperium"
199006004,"Pre-existing hypertensive heart disease complicating pregnancy, childbirth and the puerperium"
199007008,"Pre-existing hypertensive heart and renal disease complicating pregnancy, childbirth and the puerperium"
199008003,"Pre-existing secondary hypertension complicating pregnancy, childbirth and puerperium"
67359005,Pre-eclampsia added to pre-existing hypertension
86041002,Pre-existing hypertension in obstetric context
8762007,Chronic hypertension in obstetric context
