code,description
104301000000104,[D]Underweight
1162388008,Dosing body weight (observable entity)
139087009,Weight steady (finding)
139088004,Weight increasing (finding)
139089007,Weight decreasing (finding)
139090003,Abnormal weight gain (finding)
139917004,O/E - obese (finding)
139987007,O/E - weight greater than 20% below ideal (finding)
139988002,O/E -weight 10-20% below ideal (finding)
139990001,O/E - overweight (& [weight 10-20% over ideal]) (finding)
139991002,O/E weight: [>20% over ideal] or [obese] (finding)
147251000,Child weight 10th - 24th centile (finding)
158270004,[D]Abnormal weight gain (situation)
158271000,[D]Abnormal loss of weight (situation)
161831008,Weight increasing (finding)
161832001,Weight decreasing (finding)
161833006,Abnormal weight gain (finding)
162690006,On examination - obese (finding)
162763007,On examination - weight (finding)
162764001,On examination - weight greater than 20% below ideal (finding)
162765000,On examination - weight 10-20% below ideal (finding)
162766004,On examination - weight within 10% ideal (finding)
162767008,O/E - overweight (& [weight 10-20% over ideal]) (finding)
162768003,O/E weight: [>20% over ideal] or [obese] (finding)
162769006,On examination - Underweight (finding)
197941000000107,Target weight reached (finding)
206918008,[D]Abnormal weight gain (situation)
206919000,[D]Abnormal loss of weight (situation)
206926000,[D]Failure to gain weight (situation)
212681000000106,Target weight reached
212691000000108,Target weight reached
22495007,Abnormal weight (finding)
224994002,Excessive weight gain (finding)
225171007,Weight and body mass assessment procedure (procedure)
23712001,Abnormal decrease in weight (finding)
238131007,Overweight (finding)
248332009,Weight fluctuates (finding)
248342006,Underweight (finding)
248344007,Weight static (finding)
248345008,Body weight (observable entity)
248350002,Reference weight (observable entity)
262285001,Weight decreased (finding)
262286000,Weight increased (finding)
267024001,Abnormal weight loss (finding)
267158006,Weight loss (& abnormal) (finding)
268915006,On examination - weight 10-20% over ideal (finding)
268916007,On examination - weight greater than 20% over ideal (finding)
27113001,Body weight (observable entity)
271398006,Weight steady (finding)
275947003,On examination - overweight (finding)
309257005,Excessive weight loss (finding)
314670002,Child weight = 0.4th centile (finding)
363808001,Measured body weight (observable entity)
36440009,Failure to gain weight (finding)
392758003,O/E - Underweight (context-dependent category)
39857003,Weighing patient (procedure)
400967004,Baseline weight (observable entity)
401003006,Weight loss from baseline weight (observable entity)
408388001,[D]Underweight (situation)
414915002,Obese (finding)
422503008,Abnormal weight in relation to growth / age standard (finding)
42287000,Abnormal increase in weight (finding)
424927000,Body weight with shoes (observable entity)
425024002,Body weight without shoes (observable entity)
430237002,Abnormal intentional weight loss (finding)
43664005,Normal weight (finding)
443371000124107,Obese class I (finding)
443381000124105,Obese class II (finding)
445541000,Dry body weight (observable entity)
47961000000105,Baseline weight
496891000000106,[D]Abnormal weight gain (situation)
496901000000107,[D]Abnormal loss of weight (situation)
496961000000106,[D]Failure to gain weight (situation)
503001000000108,[D]Underweight (situation)
516391000000108,Dry weight (observable entity)
55491000237100,Patient weight (observable entity)
698094009,Measurement of body mass index (procedure)
734435008,Body weight abnormal for age (finding)
735395000,Current body weight (observable entity)
75061000000102,Baseline weight
75071000000109,Weight loss from baseline weight
784399000,Self reported body weight (observable entity)
79311000000104,Weight loss from baseline weight
808051000000101,Overweight
819948005,Obese class III (finding)
83421005,Failure to lose weight (finding)
840358001,High body weight (finding)
89362005,Weight loss (finding)
8943002,Weight gain (finding)
